THJPID	Simplified	Pinyin	CN_IPA_Tone	Traditional	Bopomofo	Tongyong_Pinyin	TW_IPA_Tone	Kanji	TouhouRoman	Yomigana	JP_IPA	SimplifiedSPLF	TraditionalSPLF	BopomofoSPLF	KanjiSPLF	IsNotCharacter
208	玄爷	Xuányé	[ɕɥɛ́n jé]	玄爺	ㄒㄩㄢˊ ㄧㄝˊ	Syuányé	[ɕɥɛ́n jé]	玄爺	Genjii	げんじい	/geɴdʑiː/	玄爷	玄爺	ㄒㄩㄢˊ ㄧㄝˊ	玄爺	
209	里香	Lǐxiāng	[lǐ ɕjāŋ]	里香	ㄌㄧˇ ㄒㄧㄤ	Lǐsiāng	[lǐ ɕjāŋ]	里香	Rika	りか	/ɾika/	里香	里香	ㄌㄧˇ ㄒㄧㄤ	里香	
210	明罗	Míngluó	[míŋ lwó]	明羅	ㄇㄧㄥˊ ㄌㄨㄛˊ	Míngluó	[míŋ lwó]	明羅	Meira	めいら	/meːɾa/	明罗	明羅	ㄇㄧㄥˊ ㄌㄨㄛˊ	明羅	
211	梦时空	Mèngshíkōng	[mə̀ŋ ʂɻ̩́ kʰʊ̄ŋ]	夢時空	ㄇㄥˋ ㄕˊ ㄎㄨㄥ	Mèngshíhkōng	[mə̀ŋ ʂɻ̩́ kʰʊ̄ŋ]	夢時空	Yumejikuu	ゆめじくう	/jɯmedʑikɯː/	梦时空	夢時空	ㄇㄥˋ ㄕˊ ㄎㄨㄥ	夢時空	TRUE
212	爱莲	Àilián	[ài ljɛ́n]	愛蓮	ㄞˋ ㄌㄧㄢˊ	Àilián	[ài ljɛ́n]	エレン	Ellen	えれん	/eɾeɴ/	爱莲	愛蓮	ㄞˋ ㄌㄧㄢˊ	エレン	
213	小兔姬	Xiǎotùjī	[ɕjǎu tʰù tɕī]	小兔姬	ㄒㄧㄠˇ ㄊㄨˋ ㄐㄧ	Siǎotùjī	[ɕjǎu tʰù tɕī]	小兎姫	Kotohime	ことひめ	/kotoçime/	小兔姬	小兔姬	ㄒㄧㄠˇ ㄊㄨˋ ㄐㄧ	小兎姫	
214	卡娜·安娜贝拉尔	Kǎnà Ānnàbèilā'ěr	[kʰǎ nà ān nà pèi lā ɚ̌]	卡娜·安娜貝拉爾	ㄎㄚˇ ㄋㄚˋ ㄢ ㄋㄚˋ ㄅㄟˋ ㄌㄚ ㄦˇ	Kǎnà Ānnàbèilā'ěr	[kʰǎ nà ān nà pèi lā ɚ̌]	カナ・アナベラル	Kana Anaberal	かな あなべらる	/kana anabeɾaɾɯ/	卡娜·\n安娜贝拉尔	卡娜·\n安娜貝拉爾	ㄎㄚˇ ㄋㄚˋ \nㄢ ㄋㄚˋ ㄅㄟˋ ㄌㄚ ㄦˇ	カナ・\nアナベラル	
215	朝仓理香子	Cháocāng Lǐxiāngzǐ	[ʈʂʰáu tsʰāŋ lǐ ɕjāŋ tsɹ̩̌]	朝倉理香子	ㄔㄠˊ ㄘㄤ ㄌㄧˇ ㄒㄧㄤ ㄗˇ	Cháocāng Lǐsiāngzǐh	[ʈʂʰáu tsʰāŋ lǐ ɕjāŋ tsɹ̩̌]	朝倉理香子	Asakura Rikako	あさくら りかこ	/asakɯɾa ɾikako/	朝仓 理香子	朝倉 理香子	ㄔㄠˊ ㄘㄤ ㄌㄧˇ ㄒㄧㄤ ㄗˇ	朝倉 理香子	
216	北白河千百合	Běibáihé Qiānbǎihé	[pěi pái xɤ́ tɕʰjɛ̄n pǎi xɤ́]	北白河千百合	ㄅㄟˇ ㄅㄞˊ ㄏㄜˊ ㄑㄧㄢ ㄅㄞˇ ㄏㄜˊ	Běibáihé Ciānbǎihé	[pěi pái xɤ́ tɕʰjɛ̄n pǎi xɤ́]	北白河ちゆり	Kitashirakawa Chiyuri	きたしらかわ ちゆり	/ki̥taɕiɾakawa tɕijɯɾi/	北白河 千百合	北白河 千百合	ㄅㄟˇ ㄅㄞˊ ㄏㄜˊ \nㄑㄧㄢ ㄅㄞˇ ㄏㄜˊ	北白河 ちゆり	
217	冈崎梦美	Gāngqí Mèngměi	[kāŋ tɕʰí mə̀ŋ měi]	岡崎夢美	ㄍㄤ ㄑㄧˊ ㄇㄥˋ ㄇㄟˇ	Gāngcí Mèngměi	[kāŋ tɕʰí mə̀ŋ měi]	岡崎夢美	Okazaki Yumemi	おかざき ゆめみ	/okazaki jɯmemi/	冈崎 梦美	岡崎 夢美	ㄍㄤ ㄑㄧˊ ㄇㄥˋ ㄇㄟˇ	岡崎 夢美	
218	留琴	Liúqín	[ljóu tɕʰín]	留琴	ㄌㄧㄡˊ ㄑㄧㄣˊ	Lióucín	[ljóu tɕʰín]	る〜こと	Ruukoto	るーこと	/ɾɯːkoto/	留琴	留琴	ㄌㄧㄡˊ ㄑㄧㄣˊ	る〜こと	
218	露柯特	Lùkētè	[lù kʰɤ̄ tʰɤ̀]	露柯特	ㄌㄨˋ ㄎㄜ ㄊㄜˋ	Lùkētè	[lù kʰɤ̄ tʰɤ̀]	る〜こと	Ruukoto	るーこと	/ɾɯːkoto/	露柯特	露柯特	ㄌㄨˋ ㄎㄜ ㄊㄜˋ	る〜こと	
219	咪咪号	Mīmīhào	[mī mī xàu]	咪咪號	ㄇㄧ ㄇㄧ ㄏㄠˋ	Mīmīhào	[mī mī xàu]	ミミちゃん	Mimi-chan	みみちゃん	/mimitɕaɴ/	咪咪号	咪咪號	ㄇㄧ ㄇㄧ ㄏㄠˋ	ミミちゃん	
220	玛露奇	Mǎlùqí	[mǎ lù tɕʰí]	瑪露奇	ㄇㄚˇ ㄌㄨˋ ㄑㄧˊ	Mǎlùcí	[mǎ lù tɕʰí]	マルチ	Multi	まるち	/maɾɯtɕi̥/	玛露奇	瑪露奇	ㄇㄚˇ ㄌㄨˋ ㄑㄧˊ	マルチ	
221	幻想乡	Huànxiǎngxiāng	[xwàn ɕjǎŋ ɕjāŋ]	幻想鄉	ㄏㄨㄢˋ ㄒㄧㄤˇ ㄒㄧㄤ	Huànsiǎngsiāng	[xwàn ɕjǎŋ ɕjāŋ]	幻想郷	Gensoukyou	げんそうきょう	/geɴsoːkʲoː/	幻想乡	幻想鄉	ㄏㄨㄢˋ ㄒㄧㄤˇ ㄒㄧㄤ	幻想郷	TRUE
222	奥莲姬	Àoliánjī	[àu ljɛ́n tɕī]	奧蓮姬	ㄠˋ ㄌㄧㄢˊ ㄐㄧ	Àoliánjī	[àu ljɛ́n tɕī]	オレンジ	Orange	おれんじ	/oɾeɴdʑi/	奥莲姬	奧蓮姬	ㄠˋ ㄌㄧㄢˊ ㄐㄧ	オレンジ	
223	胡桃	Hútáo	[xú tʰáu]	胡桃	ㄏㄨˊ ㄊㄠˊ	Hútáo	[xú tʰáu]	くるみ	Kurumi	くるみ	/kɯɾɯmi/	胡桃	胡桃	ㄏㄨˊ ㄊㄠˊ	くるみ	
224	艾丽	Àilì	[ài lì]	艾麗	ㄞˋ ㄌㄧˋ	Àilì	[ài lì]	エリー	Elly	えりー	/eɾiː/	艾丽	艾麗	ㄞˋ ㄌㄧˋ	エリー	
225	梦月	Mèngyuè	[mə̀ŋ ɥè]	夢月	ㄇㄥˋ ㄩㄝˋ	Mèngyuè	[mə̀ŋ ɥè]	夢月	Mugetsu	むげつ	/mɯgetsɯ/	梦月	夢月	ㄇㄥˋ ㄩㄝˋ	夢月	
226	幻月	Huànyuè	[xwàn ɥè]	幻月	ㄏㄨㄢˋ ㄩㄝˋ	Huànyuè	[xwàn ɥè]	幻月	Gengetsu	げんげつ	/geɴgetsɯ/	幻月	幻月	ㄏㄨㄢˋ ㄩㄝˋ	幻月	
227	怪绮谈	Guàiqǐtán	[kwài tɕʰǐ tʰán]	怪綺談	ㄍㄨㄞˋ ㄑㄧˇ ㄊㄢˊ	Guàicǐtán	[kwài tɕʰǐ tʰán]	怪綺談	Kaikidan	かいきだん	/kaikidaɴ/	怪绮谈	怪綺談	ㄍㄨㄞˋ ㄑㄧˇ ㄊㄢˊ	怪綺談	TRUE
228	萨拉	Sàlā	[sà lā]	薩拉	ㄙㄚˋ ㄌㄚ	Sàlā	[sà lā]	サラ	Sara	さら	/saɾa/	萨拉	薩拉	ㄙㄚˋ ㄌㄚ	サラ	
229	露易兹	Lùyìzī	[lù ì tsɹ̩̄]	露易茲	ㄌㄨˋ ㄧˋ ㄗ	Lùyìzīh	[lù ì tsɹ̩̄]	ルイズ	Louise	るいず	/ɾɯizɯ/	露易兹	露易茲	ㄌㄨˋ ㄧˋ ㄗ	ルイズ	
230	雪	Xuě	[ɕɥě]	雪	ㄒㄩㄝˇ	Syuě	[ɕɥě]	ユキ	Yuki	ゆき	/jɯki/	雪	雪	ㄒㄩㄝˇ	ユキ	
231	舞	Wǔ	[ǔ]	舞	ㄨˇ	Wǔ	[ǔ]	マイ	Mai	まい	/mai/	舞	舞	ㄨˇ	マイ	
232	梦子	Mèngzǐ	[mə̀ŋ tsɹ̩̌]	夢子	ㄇㄥˋ ㄗˇ	Mèngzǐh	[mə̀ŋ tsɹ̩̌]	夢子	Yumeko	ゆめこ	/jɯmeko/	梦子	夢子	ㄇㄥˋ ㄗˇ	夢子	
233	神绮	Shénqǐ	[ʂə́n tɕʰǐ]	神綺	ㄕㄣˊ ㄑㄧˇ	Shéncǐ	[ʂə́n tɕʰǐ]	神綺	Shinki	しんき	/ɕiɴki̥/	神绮	神綺	ㄕㄣˊ ㄑㄧˇ	神綺	
234	博丽神社	Bólì Shénshè	[pwó lì ʂə́n ʂɤ̀]	博麗神社	ㄅㄛˊ ㄌㄧˋ ㄕㄣˊ ㄕㄜˋ	Bólì Shénshè	[pwó lì ʂə́n ʂɤ̀]	博麗神社	Hakurei Jinja	はくれいじんじゃ	/hakɯɾeːdʑiɴdʑa/	博丽神社	博麗神社	ㄅㄛˊ ㄌㄧˋ ㄕㄣˊ ㄕㄜˋ	博麗神社	TRUE
235	例大祭	Lìdàjì	[lì tà tɕì]	例大祭	ㄌㄧˋ ㄉㄚˋ ㄐㄧˋ	Lìdàjì	[lì tà tɕì]	例大祭	Reitaisai	れいたいさい	/ɾeːtaisai/	例大祭	例大祭	ㄌㄧˋ ㄉㄚˋ ㄐㄧˋ	例大祭	TRUE
236	二〇二六年	èr líng èr liù nián	[ɚ̀ líŋ ɚ̀ ljòu njɛ́n]	二零二六年	ㄦˋ ㄌㄧㄥˊ ㄦˋ ㄌㄧㄡˋ ㄋㄧㄢˊ	èr líng èr liòu nián	[ɚ̀ líŋ ɚ̀ ljòu njɛ́n]	二千二十六年	nisen-nijuuroku nen	にせんにじゅうろくねん	/niseɴnidʑɯːɾokɯ/	二〇二六年	二零二六年	ㄦˋ ㄌㄧㄥˊ ㄦˋ ㄌㄧㄡˋ ㄋㄧㄢˊ	二千二十六年	TRUE
