THJPID	Simplified	Pinyin	CN_IPA_Tone	Traditional	Bopomofo	Tongyong_Pinyin	TW_IPA_Tone	Kanji	TouhouRoman	Yomigana	JP_IPA	SimplifiedSPLF	TraditionalSPLF	BopomofoSPLF	KanjiSPLF	IsNotCharacter
99	深秘录	Shēnmìlù	[ʂə̄n mì lù]	深秘錄	ㄕㄣ ㄇㄧˋ ㄌㄨˋ	Shēnmìlù	[ʂə̄n mì lù]	深秘録	Shinpiroku	しんぴろく	/ɕiɴpiɾokɯ/	深秘录	深秘錄	ㄕㄣ ㄇㄧˋ ㄌㄨˋ	深秘録	TRUE
100	宇佐见堇子	Yǔzuǒjiàn Jǐnzǐ	[y̌ tswǒ tɕjɛ̀n tɕǐn tsɹ̩̌]	宇佐見堇子	ㄩˇ ㄗㄨㄛˇ ㄐㄧㄢˋ ㄐㄧㄣˇ ㄗˇ	Yǔzuǒjiàn Jǐnzǐh	[y̌ tswǒ tɕjɛ̀n tɕǐn tsɹ̩̌]	宇佐見菫子	Usami Sumireko	うさみ すみれこ	/ɯsami sɯmiɾeko/	宇佐见 堇子	宇佐見 堇子	ㄩˇ ㄗㄨㄛˇ ㄐㄧㄢˋ ㄐㄧㄣˇ ㄗˇ	宇佐見 菫子	
101	绀珠传	Gànzhūzhuàn	[kàn ʈʂū ʈʂwàn]	紺珠傳	ㄍㄢˋ ㄓㄨ ㄓㄨㄢˋ	Gànjhūjhuàn	[kàn ʈʂū ʈʂwàn]	紺珠伝	Kanjuden	かんじゅでん	/kaɴdʑɯdeɴ/	绀珠传	紺珠傳	ㄍㄢˋ ㄓㄨ ㄓㄨㄢˋ	紺珠伝	TRUE
102	清兰	Qīnglán	[tɕʰīŋ lán]	清蘭	ㄑㄧㄥ ㄌㄢˊ	Cīnglán	[tɕʰīŋ lán]	清蘭	Seiran	せいらん	/seːɾaɴ/	清兰	清蘭	ㄑㄧㄥ ㄌㄢˊ	清蘭	
103	铃瑚	Línghú	[líŋ xú]	鈴瑚	ㄌㄧㄥˊ ㄏㄨˊ	Línghú	[líŋ xú]	鈴瑚	Ringo	りんご	/ɾiɴgo/	铃瑚	鈴瑚	ㄌㄧㄥˊ ㄏㄨˊ	鈴瑚	
104	哆来咪·苏伊特	Duōláimī Sūyītè	[twō lái mī sū ī tʰɤ̀]	哆來咪·蘇伊特	ㄉㄨㄛ ㄌㄞˊ ㄇㄧ ㄙㄨ ㄧ ㄊㄜˋ	Duōláimī Sūyītè	[twō lái mī sū ī tʰɤ̀]	ドレミー・スイート	Doremy Sweet	どれみー すいーと	/doɾemiː sɯiːto/	哆来咪·苏伊特	哆來咪·\n蘇伊特	ㄉㄨㄛ ㄌㄞˊ ㄇㄧ ㄙㄨ ㄧ ㄊㄜˋ	ドレミー・\nスイート	
105	稀神探女	Xīshén Tànnǚ	[ɕī ʂə́n tʰàn ny̌]	稀神探女	ㄒㄧ ㄕㄣˊ ㄊㄢˋ ㄋㄩˇ	Sīshén Tànnyǔ	[ɕī ʂə́n tʰàn ny̌]	稀神サグメ	Kishin Sagume	きしん さぐめ	/ki̥ɕiɴ sagɯme/	稀神 探女	稀神 探女	ㄒㄧ ㄕㄣˊ ㄊㄢˋ ㄋㄩˇ	稀神 サグメ	
106	克劳恩皮丝	Kèláo'ēn Písī	[kʰɤ̀ láu ə̄n pʰí sɹ̩̄]	克勞恩皮絲	ㄎㄜˋ ㄌㄠˊ ㄣ ㄆㄧˊ ㄙ	Kèláo'ēn Písīh	[kʰɤ̀ láu ə̄n pʰí sɹ̩̄]	クラウンピース	Clownpiece	くらうんぴーす	/kɯɾaɯɴpiːsɯ/	克劳恩皮丝	克勞恩皮絲	ㄎㄜˋ ㄌㄠˊ ㄣ ㄆㄧˊ ㄙ	クラウン\nピース	
107	纯狐	Chúnhú	[ʈʂʰwə́n xú]	純狐	ㄔㄨㄣˊ ㄏㄨˊ	Chúnhú	[ʈʂʰwə́n xú]	純狐	Junko	じゅんこ	/dʑɯɴko/	纯狐	純狐	ㄔㄨㄣˊ ㄏㄨˊ	純狐	
108	赫卡提亚·拉碧斯拉祖利	Hèkǎtíyà Lābìsīlāzǔlì	[xɤ̀ kʰǎ tʰí jà lā pì sɹ̩̄ lā tsǔ lì]	赫卡提亞·拉碧斯拉祖利	ㄏㄜˋ ㄎㄚˇ ㄊㄧˊ ㄧㄚˋ ㄌㄚ ㄅㄧˋ ㄙ ㄌㄚ ㄗㄨˇ ㄌㄧˋ	Hèkǎtíyà Lābìsīhlāzǔlì	[xɤ̀ kʰǎ tʰí jà lā pì sɹ̩̄ lā tsǔ lì]	ヘカーティア・ラピスラズリ	Hecatia Lapislazuli	へかーてぃあ らぴすらずり	/hekaːtia ɾapi̥sɯɾazɯɾi/	赫卡提亚·\n拉碧斯拉祖利	赫卡提亞·\n拉碧斯拉祖利	ㄏㄜˋ ㄎㄚˇ ㄊㄧˊ ㄧㄚˋ \nㄌㄚ ㄅㄧˋ ㄙ ㄌㄚ ㄗㄨˇ ㄌㄧˋ	ヘカーティア・\nラピスラズリ	
109	凭依华	Píngyīhuá	[pʰíŋ ī xwá]	憑依華	ㄆㄧㄥˊ ㄧ ㄏㄨㄚˊ	Píngyīhuá	[pʰíŋ ī xwá]	憑依華	Hyouibana	ひょういばな	/çoːibana/	凭依华	憑依華	ㄆㄧㄥˊ ㄧ ㄏㄨㄚˊ	憑依華	TRUE
110	依神女苑	Yīshén Nǚyuàn	[ī ʂə́n ny̌ ɥɛ̀n]	依神女苑	ㄧ ㄕㄣˊ ㄋㄩˇ ㄩㄢˋ	Yīshén Nyǔyuàn	[ī ʂə́n ny̌ ɥɛ̀n]	依神女苑	Yorigami Joon	よりがみ じょおん	/joɾigami dʑoːɴ/	依神 女苑	依神 女苑	ㄧ ㄕㄣˊ ㄋㄩˇ ㄩㄢˋ	依神 女苑	
